Accession;Title;Sample Type;Taxonomy;Channels;Platform;Series;Supplementary Types;Supplementary Links;SRA Accession;Contact;Release Date
GSM5976736;MSCCR_reGRID_1148_Biopsy_1931, CD participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642371;SRX14642371;Carmen argmann;Sep 16, 2022
GSM5976737;MSCCR_reGRID_1148_Biopsy_1932, CD participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642372;SRX14642372;Carmen argmann;Sep 16, 2022
GSM5976738;MSCCR_reGRID_1149_Biopsy_1933, UC participants,Cecum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642373;SRX14642373;Carmen argmann;Sep 16, 2022
GSM5976739;MSCCR_reGRID_1149_Biopsy_1934, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642374;SRX14642374;Carmen argmann;Sep 16, 2022
GSM5976740;MSCCR_reGRID_1149_Biopsy_1935, UC participants,RightColon NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642375;SRX14642375;Carmen argmann;Sep 16, 2022
GSM5976741;MSCCR_reGRID_115_Biopsy_232, UC participants,LeftColon I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14642376;SRX14642376;Carmen argmann;Sep 16, 2022
GSM5976742;MSCCR_reGRID_115_Biopsy_233, UC participants,RightColon I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641993;SRX14641993;Carmen argmann;Sep 16, 2022
GSM5976743;MSCCR_reGRID_115_Biopsy_234, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641994;SRX14641994;Carmen argmann;Sep 16, 2022
GSM5976744;MSCCR_reGRID_1150_Biopsy_1936, UC participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641995;SRX14641995;Carmen argmann;Sep 16, 2022
GSM5976745;MSCCR_reGRID_1150_Biopsy_1937, UC participants,Rectum I tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641996;SRX14641996;Carmen argmann;Sep 16, 2022
GSM5976746;MSCCR_reGRID_1151_Biopsy_1938, Control participants,Rectum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641997;SRX14641997;Carmen argmann;Sep 16, 2022
GSM5976747;MSCCR_reGRID_1151_Biopsy_1939, Control participants,Ileum NonI tissue;SRA;Homo sapiens;1;GPL16791;GSE193677;SRA Run Selector;https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX14641998;SRX14641998;Carmen argmann;Sep 16, 2022
