Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR18509177;30/09/2022 10:35;28/03/2022 20:09;31917425;3191742500;0;100;1308;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509177/SRR18509177.lite.1;SRX14641310;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406645;SAMN27025616;simple;9606;Homo sapiens;GSM5976529;;;;;;;no;;;;;GEO;SRA1356613;;public;D5875F63CB6598332672875B0CEBB459;D027DCD978F9C5062DE836B8723FD7B4
SRR18509178;30/09/2022 10:35;28/03/2022 20:00;27838356;2783835600;0;100;1147;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR018/18509/SRR18509178/SRR18509178.lite.1;SRX14641311;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406644;SAMN27025617;simple;9606;Homo sapiens;GSM5976530;;;;;;;no;;;;;GEO;SRA1356613;;public;B344EA94F4BFC1447842E56EDD7EE774;BE663A951F010AA43AA6DE7CC53EF72C
SRR18509179;30/09/2022 10:35;28/03/2022 20:07;36553527;3655352700;0;100;1476;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509179/SRR18509179.lite.1;SRX14641312;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406647;SAMN27025618;simple;9606;Homo sapiens;GSM5976531;;;;;;;no;;;;;GEO;SRA1356613;;public;72BF517E983C9D79732B8ACFFD10684E;5A1832909BC1BF563909B0E2422305B1
SRR18509180;30/09/2022 10:35;28/03/2022 19:59;14186967;1418696700;0;100;550;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509180/SRR18509180.lite.1;SRX14641313;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406646;SAMN27025619;simple;9606;Homo sapiens;GSM5976532;;;;;;;no;;;;;GEO;SRA1356613;;public;7C5F076C03CB8060F2D1CF6AF7A8495B;8AA94484CC6A5334F022685500218FC4
SRR18509181;30/09/2022 10:35;28/03/2022 20:06;33268843;3326884300;0;100;1313;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509181/SRR18509181.lite.1;SRX14641314;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406648;SAMN27025620;simple;9606;Homo sapiens;GSM5976533;;;;;;;no;;;;;GEO;SRA1356613;;public;50DE62E637511EBFF32CBCDB86DC8272;9F013B66FACA25178BC5AC562FA7A916
SRR18509182;30/09/2022 10:35;28/03/2022 20:25;71245524;7124552400;0;100;2986;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509182/SRR18509182.lite.1;SRX14641315;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406649;SAMN27025621;simple;9606;Homo sapiens;GSM5976534;;;;;;;no;;;;;GEO;SRA1356613;;public;70DB5301E410992BD09E53B53709A185;5E55AAACDFA7C6F4ACD27E181445CF94
SRR18509183;30/09/2022 10:35;28/03/2022 20:11;49724435;4972443500;0;100;2067;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509183/SRR18509183.lite.1;SRX14641316;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406650;SAMN27025622;simple;9606;Homo sapiens;GSM5976535;;;;;;;no;;;;;GEO;SRA1356613;;public;90FD4DE6C1CC945E7F5DE0F3BBFE0162;C3F099973167E3A15A6D968EC496F119
SRR18509184;30/09/2022 10:35;28/03/2022 20:12;54579793;5457979300;0;100;2247;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509184/SRR18509184.lite.1;SRX14641317;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406651;SAMN27025623;simple;9606;Homo sapiens;GSM5976536;;;;;;;no;;;;;GEO;SRA1356613;;public;06DA6FEC556A5E4EDFD46A1056E6C258;37978E9C21E13C9106BE8AE5820756BB
SRR18509185;30/09/2022 10:35;28/03/2022 20:09;37367807;3736780700;0;100;1227;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509185/SRR18509185.lite.1;SRX14641318;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406652;SAMN27025624;simple;9606;Homo sapiens;GSM5976537;;;;;;;no;;;;;GEO;SRA1356613;;public;2735C9BCC262BFBECD559EECE976F7B1;C0F458A84CBA54888F759BDE2E2EBA90
SRR18509186;30/09/2022 10:35;28/03/2022 20:08;40371432;4037143200;0;100;1333;;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR018/18509/SRR18509186/SRR18509186.lite.1;SRX14641319;;RNA-Seq;cDNA;TRANSCRIPTOMIC;SINGLE;0;0;ILLUMINA;Illumina HiSeq 2500;SRP354989;PRJNA797175;3;797175;SRS12406653;SAMN27025625;simple;9606;Homo sapiens;GSM5976538;;;;;;;no;;;;;GEO;SRA1356613;;public;ECFA33D0E875CDCFCF32BDDD20C23B4E;AD9EA35DBCD5F47E418706DFA4FA4B08
