GeneID;Base.mean;log2.FC.;StdErr;Wald.Stats;P.value;P.adj
51710;517.4247578;0.41238655;0.332211192;1.24133852;0.21448072;0.999950567
147837;128.614242;0.248088983;0.375823755;0.660120548;0.509176474;0.999950567
79973;55.3895334;0.137790977;0.340911925;0.404183506;0.686077782;0.999950567
105372277;46.08696864;0.03308576;0.53637374;0.061684154;0.950814359;0.999950567
90576;282.6707011;0.104595631;0.345106657;0.303082044;0.761827338;0.999950567
10224;241.1257167;0.3882695;0.327555592;1.185354514;0.235877308;0.999950567
163051;159.6088117;-0.06296377;0.45847791;-0.137332178;0.890768237;0.999950567
163050;596.9942527;-0.147259988;0.338027903;-0.435644474;0.663094698;0.999950567
57474;416.0752714;-0.157194013;0.31902648;-0.492730298;0.622203166;0.999950567
163049;604.0319708;0.181579206;0.28695817;0.632772388;0.526882291;0.999950567
4125;2536.431731;-0.215175743;0.324956918;-0.662166985;0.507864211;0.999950567
84292;127.3834499;-0.154442373;0.361834139;-0.426831955;0.669501729;0.999950567
51398;572.3771448;-0.500171485;0.3800545;-1.316052003;0.188156589;0.999950567
1725;507.8854631;-0.527655939;0.322737015;-1.63494088;0.102061442;0.999950567
105372280;3.418488571;1.265909899;1.057526095;1.19704838;0.231287698;0.999950567
84261;100.2877473;0.201453989;0.350498129;0.574764806;0.565450372;0.999950567
30000;631.1349116;0.261271085;0.42541687;0.614153088;0.53911417;0.999950567
79002;762.0860639;-1.028333055;0.484503069;-2.122449004;0.033800051;0.999950567
439;635.2161248;-0.14889043;0.336516036;-0.442446761;0.658165948;0.999950567
29911;1262.277643;0.179851237;0.543946356;0.330641496;0.740915298;0.999950567
3726;1098.717809;-0.237515527;0.402381882;-0.590273912;0.555007026;0.999950567
7001;1827.801521;-0.287632098;0.459709432;-0.625682395;0.531523283;0.999950567
10535;311.8227179;0.143124107;0.300434527;0.476390341;0.633796315;0.999950567
22983;10.26600465;-0.355633893;0.86417976;-0.411527681;0.680685648;0.999950567
1777;707.108642;-0.226381823;0.361025995;-0.627051309;0.530625602;0.999950567
2639;414.2753849;-0.023245373;0.248441373;-0.093564821;0.925454856;0.999950567
256126;15.08323743;-0.168741394;0.693813988;-0.243208407;0.807843955;0.999950567
2193;584.9086663;-0.654443523;0.381136814;-1.717082946;0.085964018;0.999950567
811;7071.692393;-0.20138345;0.484498658;-0.415653266;0.677663743;0.999950567
5886;539.3445963;-0.907164584;0.753694068;-1.203624418;0.228734777;0.999950567
90480;201.1310359;0.152075481;0.278565301;0.545923991;0.585118186;0.999950567
4784;235.8149005;-0.161454035;0.586799077;-0.275143642;0.783205883;0.999950567
4066;296.041545;-1.39159789;0.873886522;-1.592424022;0.111289462;0.999950567
55621;551.1486782;0.218408309;0.455537481;0.479451897;0.631617181;0.999950567
112939;588.9818029;-0.307299724;0.50268753;-0.611313601;0.540991989;0.999950567
8677;750.6679398;-0.099475451;0.383759445;-0.259213037;0.795470873;0.999950567
9592;862.3606535;-0.039945977;0.384935643;-0.103773132;0.917349389;0.999950567
773;75.74021302;0.494757065;0.507777172;0.974358621;0.329878508;0.999950567
81576;455.1973208;-0.462976824;0.305707422;-1.514444174;0.129913223;0.999950567
