name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Campylobacter jejuni	197	S	389	1299	1688	0.00014
Campylobacter coli	195	S	13	5	18	0.00000
Akkermansia muciniphila	239935	S	87	7	94	0.00001
Akkermansia massiliensis	2927224	S	28	70	98	0.00001
Luteolibacter sp. SL250	2995170	S	12	1	13	0.00000
Desulfovibrio desulfuricans	876	S	40	31	71	0.00001
Desulfovibrio piger	901	S	13	21	34	0.00000
Treponema peruense	2787628	S	34	48	82	0.00001
Treponema ruminis	744515	S	12	2	14	0.00000
uncultured Sphaerochaeta sp.	886478	S	11	0	11	0.00000
Brachyspira pilosicoli	52584	S	13	3	16	0.00000
Fusobacterium vincentii	155615	S	38	25	63	0.00001
Homo sapiens	9606	S	843	26	869	0.00007
uncultured Methanocorpusculum sp.	176309	S	21	1	22	0.00000
Jahgtovirus secundus	2955998	S	2904	408	3312	0.00027
Jahgtovirus intestinihominis	2955997	S	1726	580	2306	0.00019
Jahgtovirus gastrointestinalis	2955995	S	788	212	1000	0.00008
Jahgtovirus intestinalis	2955996	S	15	0	15	0.00000
Carjivirus communis	2955582	S	700	83	783	0.00006
Carjivirus hominis	2955583	S	116	13	129	0.00001
Buchavirus coli	2955548	S	30	0	30	0.00000
Buchavirus hominis	2955552	S	23	0	23	0.00000
Burzaovirus intestinihominis	2955562	S	11	10	21	0.00000
Afonbuvirus coli	2955232	S	11	3	14	0.00000
Kingevirus communis	2956060	S	55	0	55	0.00000
Taranisvirus taranis	2734146	S	166	158	324	0.00003
Brigitvirus brigit	2734096	S	40	0	40	0.00000
Oengusvirus oengus	2734262	S	12	0	12	0.00000
